film,zanr
82158,Sport
82176,Biography
82176,Drama
82198,Action
82198,Adventure
82198,Fantasy
82250,Action
82250,Crime
82250,Drama
82269,Music
82269,Thriller
82340,Action
82340,Adventure
82340,Sci-Fi
82398,Action
82398,Adventure
82398,Thriller
82406,Adventure
82406,Animation
82406,Drama
82416,Drama
82416,Romance
82418,Horror
82418,Mystery
82418,Thriller
82427,Horror
82495,Horror
82694,Action
82694,Adventure
82694,Sci-Fi
82766,Biography
82766,Drama
82782,Horror
82782,Mystery
82782,Thriller
82783,Comedy
82783,Drama
82846,Drama
82869,Action
82869,Crime
82869,Sci-Fi
82933,Drama
82933,Horror
82934,Crime
82934,Drama
82934,Romance
82971,Action
82971,Adventure
82979,Biography
82979,Drama
82979,History
83131,Comedy
83131,War
83190,Action
83190,Crime
83190,Drama
83284,Drama
83284,Sport
83284,War
83399,Comedy
83399,Drama
83437,Action
83437,Crime
83437,Drama
83511,Action
83511,Comedy
83511,Crime
83530,Comedy
83530,Sci-Fi
83630,Action
83630,Adventure
83630,Fantasy
83658,Action
83658,Sci-Fi
83658,Thriller
83722,Fantasy
83722,Horror
83722,Thriller
83791,Adventure
83791,Family
83791,Fantasy
83806,Comedy
83806,Crime
83806,Mystery
83833,Comedy
83833,Drama
83866,Family
83866,Sci-Fi
83907,Horror
83929,Comedy
83929,Drama
83972,Horror
83972,Thriller
84237,Adventure
84237,Animation
84237,Drama
84302,Comedy
84302,Drama
84412,Comedy
84434,Drama
84434,Romance
84503,Drama
84503,Fantasy
84503,Music
84516,Horror
84516,Thriller
84602,Drama
84602,Sport
84695,Horror
84726,Action
84726,Adventure
84726,Sci-Fi
84777,Horror
84777,Mystery
84777,Thriller
84787,Horror
84787,Mystery
84787,Sci-Fi
84805,Comedy
84805,Drama
84805,Romance
84809,Comedy
84827,Action
84827,Adventure
84827,Sci-Fi
84917,Comedy
84917,Drama
84934,Drama
85033,Action
85033,Adventure
85033,Animation
85255,Action
85255,Crime
85255,Drama
85333,Horror
85333,Thriller
85334,Comedy
85334,Family
85407,Drama
85407,Horror
85407,Sci-Fi
85478,Comedy
85478,Drama
85549,Drama
85549,Music
85549,Romance
85636,Horror
85636,Mystery
85636,Sci-Fi
85701,Drama
85701,Horror
85794,Comedy
85794,Crime
85794,Drama
85811,Action
